iter	Passed	Remaining
442	1267	1593
443	1270	1590
444	1273	1587
445	1276	1585
446	1278	1582
447	1281	1579
448	1284	1576
449	1287	1573
450	1290	1571
451	1293	1568
452	1296	1565
453	1299	1562
454	1302	1559
455	1305	1557
456	1308	1554
457	1310	1551
458	1313	1548
459	1316	1545
460	1319	1542
461	1322	1540
462	1325	1537
463	1328	1534
464	1331	1531
465	1333	1528
466	1336	1525
467	1339	1522
468	1342	1519
469	1345	1516
470	1347	1513
471	1350	1511
472	1353	1508
473	1356	1505
474	1359	1502
475	1362	1499
476	1364	1496
477	1367	1493
478	1370	1490
479	1373	1487
480	1376	1484
481	1378	1481
482	1381	1478
483	1384	1475
484	1388	1473
485	1390	1471
486	1393	1467
487	1396	1464
488	1399	1462
489	1402	1459
490	1405	1456
491	1407	1453
492	1410	1450
493	1413	1447
494	1416	1444
495	1419	1442
496	1422	1439
497	1424	1436
498	1427	1433
499	1430	1430
500	1433	1427
501	1436	1424
502	1439	1421
503	1441	1418
504	1444	1415
505	1447	1413
506	1450	1410
507	1452	1407
508	1455	1404
509	1458	1401
510	1460	1398
511	1463	1394
512	1466	1391
513	1469	1389
514	1471	1386
515	1474	1383
516	1477	1380
517	1480	1377
518	1483	1374
519	1485	1371
520	1488	1368
521	1491	1365
522	1493	1362
523	1496	1359
524	1499	1356
525	1501	1353
526	1504	1350
527	1507	1347
528	1510	1344
529	1512	1341
530	1515	1338
531	1518	1335
532	1521	1332
533	1524	1330
534	1526	1327
535	1529	1324
536	1533	1321
537	1536	1319
538	1538	1316
539	1541	1313
540	1544	1310
541	1547	1307
542	1549	1304
543	1552	1301
544	1555	1298
545	1558	1295
546	1561	1293
547	1564	1290
548	1567	1287
549	1569	1284
550	1572	1281
551	1575	1278
552	1578	1276
553	1581	1273
554	1584	1270
555	1587	1267
556	1590	1264
557	1592	1261
558	1595	1258
559	1598	1255
560	1601	1253
561	1604	1250
562	1607	1247
563	1609	1244
564	1612	1241
565	1615	1238
566	1618	1235
567	1621	1233
568	1624	1230
569	1627	1227
570	1630	1225
571	1633	1222
572	1636	1219
573	1638	1216
574	1641	1213
575	1644	1210
576	1647	1207
577	1650	1204
578	1653	1202
579	1655	1199
580	1658	1196
581	1661	1193
582	1664	1190
583	1667	1187
584	1670	1184
585	1673	1181
586	1676	1179
587	1678	1176
588	1681	1173
589	1685	1171
590	1687	1168
591	1690	1165
592	1693	1162
593	1696	1159
594	1699	1156
595	1702	1153
596	1705	1151
597	1707	1148
598	1710	1145
599	1713	1142
600	1716	1139
601	1719	1136
602	1722	1133
603	1725	1130
604	1728	1128
605	1731	1125
606	1734	1122
607	1737	1120
608	1740	1117
609	1743	1114
610	1746	1111
611	1749	1108
612	1752	1106
613	1754	1103
614	1757	1100
615	1760	1097
616	1763	1094
617	1766	1091
618	1769	1089
619	1772	1086
620	1774	1083
621	1777	1080
622	1780	1077
623	1783	1074
624	1786	1071
625	1789	1068
626	1792	1066
627	1794	1063
628	1798	1060
629	1801	1057
630	1804	1055
631	1807	1052
632	1809	1049
633	1812	1046
634	1815	1043
635	1818	1040
636	1821	1037
637	1823	1034
638	1826	1031
639	1829	1029
640	1832	1026
641	1835	1023
642	1837	1020
643	1840	1017
644	1843	1014
645	1846	1011
646	1849	1008
647	1852	1006
648	1854	1003
649	1857	1000
650	1860	997
651	1863	994
652	1866	991
653	1869	988
654	1872	986
655	1874	983
656	1877	980
657	1880	977
658	1883	974
659	1886	971
660	1888	968
661	1891	965
662	1895	963
663	1897	960
664	1900	957
665	1903	954
666	1906	951
667	1909	949
668	1912	946
669	1915	943
670	1917	940
671	1920	937
672	1923	934
673	1926	931
674	1929	928
675	1932	926
676	1935	923
677	1938	920
678	1941	917
679	1944	914
680	1947	912
681	1949	909
682	1952	906
683	1955	903
684	1957	900
685	1960	897
686	1963	894
687	1966	891
688	1968	888
689	1971	885
690	1974	882
691	1977	880
692	1980	877
693	1983	874
694	1986	871
695	1988	868
696	1991	865
697	1994	863
698	1997	860
699	2000	857
700	2003	854
701	2006	851
702	2009	848
703	2012	846
704	2014	843
705	2017	840
706	2020	837
707	2023	834
708	2026	831
709	2029	829
710	2032	826
711	2035	823
712	2038	820
713	2041	817
714	2044	815
715	2047	812
