iter	RMSE
158	28.49161023
159	28.48961535
160	28.48825712
161	28.48669454
162	28.48555168
163	28.48202448
164	28.4806021
165	28.47897743
166	28.47388353
167	28.47220876
168	28.47077957
169	28.46939323
170	28.46734876
171	28.46261966
172	28.46126115
173	28.45944572
174	28.45521179
175	28.45030996
176	28.44892725
177	28.44725149
178	28.44458471
179	28.44034725
180	28.43715983
181	28.43452411
182	28.43216826
183	28.42848072
184	28.42447795
185	28.42323231
186	28.42013664
187	28.41873091
188	28.41686257
189	28.41552181
190	28.41376668
191	28.4123015
192	28.41092377
193	28.40934865
194	28.4073448
195	28.40416752
196	28.40277209
197	28.39934536
198	28.39766127
199	28.3960699
200	28.39483402
201	28.39127587
202	28.38838195
203	28.38665204
204	28.38493924
205	28.38182589
206	28.38001366
207	28.37634443
208	28.37430191
209	28.37245109
210	28.37141264
211	28.3698712
212	28.36788846
213	28.36652413
214	28.36531712
215	28.36396486
216	28.36128902
217	28.35941701
218	28.35807986
219	28.35660821
220	28.35239298
221	28.35094602
222	28.34947776
223	28.3460465
224	28.34416394
225	28.3398458
226	28.33669443
227	28.33442204
228	28.33295676
229	28.33141101
230	28.33017496
231	28.32885159
232	28.32725645
233	28.32609986
234	28.32412507
235	28.32267945
236	28.32097826
237	28.31936954
238	28.31738315
239	28.31611598
240	28.31479414
241	28.31348717
242	28.30993237
243	28.30841185
244	28.30671855
245	28.30535308
246	28.30297581
247	28.30124486
248	28.29915442
249	28.29723666
250	28.2960449
251	28.29302134
252	28.29167334
253	28.29027241
254	28.28834894
255	28.28690856
256	28.28470828
257	28.2815239
258	28.28041418
259	28.27876245
260	28.27772923
261	28.27671555
262	28.27549264
263	28.27370989
264	28.27262796
265	28.27170841
266	28.26995792
267	28.26884636
268	28.26698824
269	28.26563125
270	28.264416
271	28.26254724
272	28.25982981
273	28.25817174
274	28.2570886
275	28.25551773
276	28.25475052
277	28.25311225
278	28.25155471
279	28.24751648
280	28.24327936
281	28.24102296
282	28.23939707
283	28.23815341
284	28.23509657
285	28.23360597
286	28.23177367
287	28.229847
288	28.22822701
289	28.22655763
290	28.22555798
291	28.22413898
292	28.22171093
293	28.22011438
294	28.21914377
295	28.21759845
296	28.21621373
297	28.21476762
298	28.21359597
299	28.21260718
300	28.21103212
301	28.20965662
302	28.20764762
303	28.2064412
304	28.2051024
305	28.2023778
306	28.19896464
307	28.19764744
308	28.19590547
309	28.19436733
310	28.19278454
311	28.19159238
312	28.18984339
313	28.18812914
314	28.18602074
315	28.18484173
316	28.18185312
317	28.18086969
318	28.17922735
319	28.17743772
320	28.17630569
321	28.17534597
322	28.17409723
323	28.17254261
324	28.17180211
325	28.17095164
326	28.16956459
327	28.16675159
328	28.16555721
329	28.16326731
330	28.16221185
331	28.16065716
332	28.15955879
333	28.15787471
334	28.15607972
335	28.15461021
336	28.15350316
337	28.15256282
338	28.14926088
339	28.14815799
340	28.14601503
341	28.14418033
342	28.14276741
343	28.14157071
344	28.14018353
345	28.13878344
346	28.13770131
347	28.1367671
348	28.13557488
349	28.13410241
350	28.13321943
351	28.13199
352	28.13054209
353	28.12926426
354	28.12833983
355	28.12691351
356	28.12542619
357	28.12416
358	28.123158
359	28.12203334
360	28.12103463
361	28.1200328
362	28.11937204
363	28.11827974
364	28.11704627
365	28.11601481
366	28.11471831
367	28.1137282
368	28.11235412
369	28.11123244
370	28.10979741
371	28.10874574
372	28.1076922
373	28.1063056
374	28.10484476
375	28.10312068
376	28.10176591
377	28.10028817
378	28.09857317
379	28.09654836
380	28.09515422
381	28.0939827
382	28.09262144
383	28.09179175
384	28.09008951
385	28.08869931
386	28.08701992
387	28.08500965
388	28.08351103
389	28.0820757
390	28.08111904
391	28.07978696
392	28.07897628
393	28.07805008
394	28.07673314
395	28.0748162
396	28.07322677
397	28.07249489
398	28.0715713
399	28.07060392
400	28.06871774
401	28.06726126
402	28.0649375
403	28.06341734
404	28.06203099
405	28.06127116
406	28.06014513
407	28.05915042
408	28.05777639
409	28.05709756
410	28.05647766
411	28.05517658
412	28.05401168
413	28.05309651
414	28.05189859
415	28.05086417
416	28.04980188
417	28.04897443
418	28.04734884
419	28.0456609
420	28.0440553
421	28.04313426
422	28.04102708
423	28.03992686
424	28.03906262
425	28.03806934
426	28.03710048
427	28.03515123
428	28.03416424
429	28.03300227
430	28.03090388
431	28.02773696
432	28.02699023
433	28.02566702
434	28.02472081
435	28.02321444
436	28.02199952
437	28.02133957
438	28.02066179
439	28.01937983
440	28.01826547
441	28.01709404
442	28.01582214
443	28.01494761
444	28.01374344
445	28.01159014
446	28.01064996
447	28.00995138
448	28.00886053
449	28.00695603
450	28.00606931
451	28.00470273
452	28.00289882
453	28.00144799
454	28.00040872
455	27.9989587
456	27.99665815
457	27.99582348
458	27.99503145
459	27.99338632
460	27.99233976
461	27.99136406
462	27.99006601
463	27.98919649
464	27.98815869
465	27.98655022
466	27.98529039
467	27.98418578
468	27.98309839
469	27.98237132
470	27.9810059
471	27.97986929
472	27.97876948
473	27.97684488
474	27.97564405
475	27.97451541
476	27.97317485
477	27.97124793
478	27.96980879
479	27.96896826
480	27.96791564
481	27.96677517
482	27.96539087
483	27.96434822
484	27.96360075
485	27.96229333
486	27.96134074
487	27.96065777
488	27.9595959
489	27.95794688
490	27.95591053
491	27.95440323
492	27.95275838
493	27.95128515
494	27.95016408
495	27.94763013
496	27.94637599
497	27.9448477
498	27.94329148
499	27.94200163
500	27.94088471
501	27.93988198
502	27.93888549
503	27.93792554
504	27.93652984
505	27.9356044
506	27.93508997
507	27.93356543
508	27.9324728
509	27.93134533
510	27.93022134
511	27.92901548
512	27.92846079
513	27.92713686
514	27.92642861
515	27.92569938
516	27.92427033
517	27.92302059
518	27.92157063
519	27.9196247
520	27.91833974
521	27.91756945
522	27.91641784
523	27.91536859
524	27.91385319
525	27.91274838
526	27.91145561
527	27.91023519
528	27.90912438
529	27.90821012
530	27.90688438
531	27.90565075
532	27.90473628
533	27.90332547
534	27.90161791
535	27.90073936
536	27.89984018
537	27.89891783
538	27.89818287
539	27.89706986
540	27.89548083
541	27.89436274
542	27.89336226
543	27.89239619
544	27.8907166
545	27.89011504
546	27.88903933
547	27.88766779
548	27.88638585
549	27.88518005
550	27.88401767
551	27.88296627
552	27.88138511
553	27.87986657
554	27.87861622
555	27.87752114
556	27.87677618
557	27.87572628
558	27.87415299
559	27.87323006
560	27.87217563
561	27.87117745
562	27.87007658
563	27.86883252
564	27.8679728
565	27.86699969
566	27.86566014
567	27.86307495
568	27.86191524
569	27.86061494
570	27.85877141
571	27.85749217
572	27.85626534
573	27.85521061
574	27.8546491
575	27.85349161
576	27.85231324
577	27.85115978
578	27.84992602
579	27.84900716
580	27.847974
581	27.84629847
582	27.84526484
583	27.84431166
584	27.84210071
585	27.84106001
586	27.83994425
587	27.83879227
588	27.83796272
589	27.83702732
590	27.83558162
591	27.83418084
592	27.83281884
593	27.83193258
594	27.83090519
595	27.82987559
596	27.82810248
597	27.8269906
598	27.82522468
599	27.82424424
600	27.8234739
601	27.82249241
602	27.82132266
603	27.82028926
604	27.81955178
605	27.81876783
606	27.81772472
607	27.81618564
608	27.81513232
609	27.81423421
610	27.81286226
611	27.81139766
612	27.81057342
613	27.80935185
614	27.80827026
615	27.80724607
616	27.80557227
617	27.80442432
618	27.80347295
619	27.80197916
620	27.80090739
621	27.79997247
622	27.79866106
623	27.79742854
624	27.79629868
625	27.79423149
626	27.79351171
627	27.79263089
628	27.79098766
629	27.7898945
630	27.78787033
631	27.78639814
632	27.78569993
633	27.78456163
634	27.78337689
635	27.78269165
636	27.78110257
637	27.78036235
638	27.77964374
639	27.77879999
640	27.77741002
641	27.77582685
642	27.77488383
643	27.77342507
644	27.7727524
645	27.77161415
646	27.77006152
647	27.76917292
648	27.76825226
649	27.76681739
650	27.76573485
651	27.76463033
652	27.76352301
653	27.76274142
654	27.76137851
655	27.76046693
656	27.75954943
657	27.75871939
658	27.75789388
659	27.75677442
660	27.75576654
661	27.75484477
662	27.75312747
663	27.75218704
664	27.75150548
665	27.75059776
666	27.74928548
667	27.74839824
668	27.74739279
669	27.74621914
670	27.74507115
671	27.74385155
672	27.74261844
673	27.74157736
674	27.74038884
675	27.73949147
676	27.73863651
677	27.73713097
678	27.73643464
679	27.73566368
680	27.73466453
681	27.7335759
682	27.73225389
683	27.73114296
684	27.73036377
685	27.72919914
686	27.72807672
687	27.72720635
688	27.72616817
689	27.72436117
690	27.72307781
691	27.72196415
692	27.72098243
693	27.71847729
694	27.71720417
695	27.71628253
696	27.71426669
697	27.71294394
698	27.71202258
699	27.7095503
700	27.70842297
701	27.70761513
702	27.70675574
703	27.70538921
704	27.7040223
705	27.70277742
706	27.70178045
707	27.70061434
708	27.69920437
709	27.69729514
710	27.69638152
711	27.69565398
712	27.69472008
713	27.69302263
714	27.69210921
715	27.69064116
716	27.6897907
717	27.68846163
718	27.68756796
719	27.68655433
720	27.68536681
721	27.68407949
722	27.68315305
723	27.68191155
724	27.68096247
725	27.67990378
726	27.67778025
727	27.67667324
728	27.67542616
729	27.67370843
730	27.67215013
731	27.67116567
732	27.67046103
733	27.66981707
734	27.66826803
735	27.66647801
736	27.66568245
737	27.66444357
738	27.66337224
739	27.66249859
740	27.66181417
741	27.66072474
742	27.66005343
743	27.65928917
744	27.65830402
745	27.65642018
746	27.65536732
747	27.65452564
748	27.65341914
749	27.65224059
750	27.65171274
751	27.6501598
752	27.64953786
753	27.64851153
754	27.64746946
755	27.64628957
756	27.64533043
757	27.64449833
758	27.64323972
759	27.64217362
760	27.64085288
761	27.64017789
762	27.63945683
763	27.63837243
764	27.63724659
765	27.63592723
766	27.63486289
767	27.633748
768	27.63266007
769	27.63180228
770	27.63069927
771	27.62945525
772	27.62833358
773	27.62712941
774	27.62613973
775	27.62518653
776	27.62448046
777	27.62371259
778	27.62265906
779	27.62150198
780	27.62050274
781	27.61925395
782	27.61846399
783	27.61746182
784	27.61702641
785	27.61550252
786	27.61441777
787	27.61340212
788	27.61229403
789	27.61164105
790	27.61039722
791	27.60887475
792	27.60681068
793	27.60615588
794	27.60510046
795	27.60412547
796	27.60265281
797	27.60150516
798	27.60024265
799	27.59916377
800	27.59837492
801	27.5974637
802	27.59655201
803	27.5953993
804	27.59427128
805	27.59277273
806	27.59199692
807	27.59080849
808	27.58953004
809	27.58862855
810	27.58788645
811	27.58705442
812	27.586356
813	27.58479365
814	27.58398654
815	27.58302607
816	27.58157479
817	27.58007259
818	27.57914857
819	27.57847454
820	27.57730133
821	27.57658961
822	27.57543569
823	27.57402109
824	27.57314672
825	27.57212085
826	27.57094656
827	27.57006819
828	27.56874478
829	27.56735888
830	27.56607015
831	27.5652053
832	27.56368267
833	27.56279261
834	27.56173098
835	27.56109891
836	27.55975995
837	27.55889861
838	27.55777091
839	27.556696
840	27.55578124
841	27.55488315
842	27.55379857
843	27.55291869
844	27.55197935
845	27.5508065
846	27.54946212
847	27.54739643
848	27.54639765
849	27.54529544
850	27.54419805
851	27.54327482
852	27.54271428
853	27.54188456
854	27.54124483
855	27.54030902
856	27.53948285
857	27.53849452
858	27.53772188
859	27.536667
860	27.53578135
861	27.53495855
862	27.53425418
863	27.53273853
864	27.53173832
865	27.53070013
866	27.52983595
867	27.52887042
868	27.52736561
869	27.5264148
870	27.52533281
871	27.52450739
872	27.52361695
873	27.52263158
874	27.52127789
875	27.52041411
876	27.51932498
877	27.51833466
878	27.51730535
879	27.51646777
880	27.51554194
881	27.51461003
882	27.51308498
883	27.51208967
884	27.51126431
885	27.51010785
886	27.50908092
887	27.50848803
888	27.50753874
889	27.50644321
890	27.50556927
891	27.5047059
892	27.50393374
893	27.50301501
894	27.50187864
895	27.50069702
896	27.49979384
897	27.49861313
898	27.49763467
899	27.49627863
900	27.49545926
901	27.4945639
902	27.49374277
903	27.49224315
904	27.4913921
905	27.49034255
906	27.48927871
907	27.48874159
908	27.48786705
909	27.48699084
910	27.48641606
911	27.48528315
912	27.48449814
913	27.48357925
914	27.48269315
915	27.4817286
916	27.4811531
917	27.48038949
918	27.47949171
919	27.47863337
920	27.47789209
921	27.47711939
922	27.47608471
923	27.47519669
924	27.47412859
925	27.47306751
926	27.4718793
927	27.47097222
928	27.47043626
929	27.46936091
930	27.46855855
931	27.46769846
932	27.46675646
933	27.46585867
934	27.46499383
935	27.46378252
936	27.46290812
937	27.46172041
938	27.4604455
939	27.45925881
940	27.45824824
941	27.45754975
942	27.45664451
943	27.45562772
944	27.45493928
945	27.45370076
946	27.45224099
947	27.4511937
948	27.45016553
949	27.44896578
950	27.44751077
951	27.44677478
952	27.44630908
953	27.44524577
954	27.44415955
955	27.44348886
956	27.44235611
957	27.44182139
958	27.44108589
959	27.43992245
960	27.43866317
961	27.43792602
962	27.4366617
963	27.43585452
964	27.4348901
965	27.43401785
966	27.4328947
967	27.43184328
968	27.43079128
969	27.43025871
970	27.42927972
971	27.42847127
972	27.42752052
973	27.42637357
974	27.42586357
975	27.42507332
976	27.42389603
977	27.42319817
978	27.42243049
979	27.42138453
980	27.42050043
981	27.41934003
982	27.41816243
983	27.41655437
984	27.4153269
985	27.41423042
986	27.41340974
987	27.41249794
988	27.41144354
989	27.4108342
990	27.4091709
991	27.40863077
992	27.40776236
993	27.40668583
994	27.405641
995	27.40334705
996	27.40250355
997	27.40156796
998	27.40082584
999	27.39972233
